countrycode,cty_or_agg,year,PRIM,PRIM_BMP,PRIM_BMP_FE,PRIM_BMP_MA,PRIM_FE,PRIM_MA,PRIM_OOS,PRIM_OOS_FE,PRIM_OOS_MA,gdp
AFG,cty,2013,93,87,0,0,0,0,50,0,0,20561054090.3994
ARE,cty,2011,39,36,30,42,33,46,5,5,6,350666031313819
ARE,cty,2016,34,32,26,38,29,40,3,4,2,357045064669843
ARG,cty,2006,56,55,53,58,53,58,1,1,0,232557260817308
ARG,cty,2013,54,54,49,59,50,59,1,1,0,552025140252246
ARM,cty,2003,44,34,33,36,42,46,14,14,15,2807061008.69084
ARM,cty,2007,26,23,21,26,22,29,3,2,4,9206301700.39619
ARM,cty,2015,35,30,27,33,32,38,7,7,8,10553337672.9872
ARM,cty,2011,45,42,41,43,44,46,5,4,5,10142111334.4961
AUS,cty,2016,9,6,4,7,6,11,3,3,4,1210028388411.71
AUS,cty,2011,9,7,5,9,7,11,2,2,3,1396649906339.35
AUT,cty,2011,3,3,2,3,3,3,0,1,0,431120310088.82
AUT,cty,2006,2,2,2,3,2,3,0,0,0,335998557270104
AUT,cty,2016,2,2,2,3,2,3,0,0,0,394052818287788
AZE,cty,2011,29,18,16,20,28,29,13,14,12,65951627200.2026
AZE,cty,2016,23,19,16,22,21,25,5,6,4,37867518957.1975
BDI,cty,2014,93,93,91,94,91,94,3,2,4,2705783272.07443
BEL,cty,2011,8,6,6,7,8,9,2,2,3,527008453886929
BEL,cty,2016,6,5,4,6,5,8,1,1,1,469677213719194
BEL,cty,2006,7,4,3,4,7,8,4,4,4,409813197842178
BEN,cty,2014,78,77,0,0,0,0,4,0,0,9707432015.61441
BFA,cty,2014,85,79,80,77,86,84,32,33,30,12377391462.6377
BGD,cty,2017,58,56,0,0,0,0,5,0,0,249723862487361
BGD,cty,2015,57,55,0,0,0,0,5,0,0,195078678697.23
BGR,cty,2001,8,5,3,7,7,9,3,4,2,27
BGR,cty,2011,7,7,6,8,6,9,0,0,1,57418414504.0882
BGR,cty,2006,8,5,4,7,7,10,3,4,3,34130122490.8613
BGR,cty,2016,12,5,4,6,11,12,7,7,7,53240950226.2443
BHR,cty,2016,32,31,21,40,22,42,2,1,3,32250132978.7234
BLZ,cty,2001,76,75,71,78,73,80,6,7,6,123
BRA,cty,2006,52,50,46,54,48,56,4,3,5,1107640289615.23
BRA,cty,2013,48,47,46,48,47,50,3,2,3,2472806456101.29
BWA,cty,2011,48,44,37,52,42,55,7,7,8,15351972229.5341
CAN,cty,2001,3,3,2,4,2,4,0,0,0,114
CAN,cty,2016,4,4,4,5,4,5,0,0,0,1526705529135.32
CAN,cty,2011,3,2,2,3,2,3,1,1,1,1789140665202.84
CHL,cty,2013,37,30,27,33,34,39,9,9,9,278384332694359
CHL,cty,2006,41,38,37,39,40,42,5,5,4,154788024805808
CHN,cty,2016,18,18,0,0,0,0,0,0,0,11137945669350.6
CIV,cty,2014,82,78,0,0,0,0,21,0,0,35316494573681
CMR,cty,2014,77,76,73,78,76,79,5,10,0,34942948737.3967
COD,cty,2011,86,62,0,0,0,0,63,0,0,25839749198.7761
COG,cty,2014,85,83,82,84,84,86,13,9,16,14177437982.2619
COL,cty,2006,54,52,53,51,54,53,4,3,4,161189825603139
COL,cty,2013,49,45,43,46,47,50,7,7,7,381866608838.8
COM,cty,2008,86,82,0,0,0,0,21,0,0,911967428.713838
CRI,cty,2006,29,29,29,29,30,30,1,1,1,22602721765.3637
CRI,cty,2013,32,32,30,33,31,34,1,1,1,49745084869.7148
CYP,cty,2015,16,14,14,15,15,17,2,2,2,19680625485.1946
CYP,cty,2003,15,14,15,14,16,15,1,1,2,14547327293.3182
CZE,cty,2001,3,3,2,3,2,3,0,0,0,109
CZE,cty,2016,3,3,2,4,2,4,0,0,0,195090272402729
CZE,cty,2011,2,2,1,2,1,2,0,0,0,227948349666354
DEU,cty,2006,3,3,2,3,2,3,0,0,0,3002446368084.31
DEU,cty,2016,6,5,4,7,5,7,0,0,0,3495162856297.22
DEU,cty,2001,3,3,3,3,3,3,0,0,0,46
DEU,cty,2011,3,2,2,3,2,3,0,0,0,3757698281117.55
