"","countrycode","2001","2003","2004","2006","2007","2008","2011","2012","2013","2014","2015","X2016","2017"
"1","AFG","NA",4515563413.82564,5226775163.30205,6971286731.72065,9747886104.53251,10109218067.7904,17804280538.1102,20001615788.6719,20561054090.3994,20484873230.2111,19907111418.9938,19362642266.6484,20191764940.1602
"2","ARE","103311640571818",124346358066712,147824370319946,222116541865214,257916133424098,315474615738598,350666031313819,374590605854323,390107556160653,403137100068073,358135057862492,357045064669843,382575085091899
"3","ARG","268696750000",127586973492177,164657930452787,232557260817308,287530508430568,361558037110419,530163281574658,545982375701128,552025140252246,526319673731638,594749285413212,557531376217967,642695864756.35
"4","ARM","2118467913.37873",2807061008.69084,3576615240.41616,6384451606.1421,9206301700.39619,11662040713.8753,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10553337672.9872,10546135160031,11527458565.7334
"5","AUS","378376086723194",466488060570763,612490396927017,746054207846661,853099630996.31,1053995523724.26,1396649906339.35,1546151783872.96,1576184467015.49,1467483705131.74,1351520093185.79,1210028388411.71,1330803227996.08
"6","AUT","197337879194631",261695778781038,300904221504842,335998557270104,388691445387353,430294287388311,431120310088.82,409425234155263,430068712971867,441996131736508,381805676697707,394052818287788,416835975862194
"7","AZE","5707720390.8515",7276013031.96905,8680370408.05943,20982986344.3027,33050343782.7759,48852482960.0779,65951627200.2026,69683935845.2138,74164435946.4627,75244294275.1498,53074468085.1064,37867518957.1975,40865558912.3867
"8","BDI","876794723.068586",784654423.620476,915257323.3961,1273375020.26862,1356199364.85882,1611835901.9063,2235820867.82743,2333308099.46249,2451625332.74584,2705783272.07443,3104394858.11518,2959185295.39019,3172416146.3921
"9","BEL","237841968680089",319002821670429,370885026074,409813197842178,471821105940323,518625897172.99,527008453886929,497884216568867,520925468952938,530808391525.11,455940347170.37,469677213719194,494901708704269
"10","BEN","2680213931.46472",3905366187.87017,4521424807.22519,5142380779.44103,5969535131.58016,7132787396.66547,7814081155.64988,8152554487.31321,9157355679.70205,9707432015.61441,8291155880.59505,8573159696.61128,9246696923.66155
"11","BFA","2812845513.57125",4205691222.11396,4838551099.70985,5816310157.71765,6771277870.96412,8369637065.40255,10724063457.8326,11166063466.5623,11947176341.9966,12377391462.6377,10419303761.3524,10886363726.8422,12322864244.9183
"12","BGD","53991289844.3291",60158929188.2556,65108544250.0425,71819083683.7403,79611888213148,91631278239.3237,128637938711386,133355749482478,149990451022.29,172885454931453,195078678697.23,221415188000475,249723862487361
"13","BGR","14075616789.4905",20982685981.4163,25957970922.4811,34130122490.8613,44411476557.0329,54409138498.3548,57418414504.0882,53903022339.0276,55555171009772,56814543481.2102,50201314894.5817,53240950226.2443,58220973782.7715
"14","BHR","8976207712.76596",11074822074.4681,13150166755.3191,18505053191.4894,2.173e+13,25710877659.5745,28776595744.6809,30749308510.6383,32539547872.3404,33387712765.9574,31125851063.8298,32250132978.7234,35432686170.2128
"15","BLZ","871860600",990374050,1057845500,1217442150,1290542550,1368625150,1486595750,1563827850,1608442150,1692955750,1762500450,1806646250,1862614800
"16","BRA","559372276081966",558319920831979,669316654017094,1107640289615.23,1397084349956.35,1695824565983.2,2616201578192.25,2465188674415.03,2472806456101.29,2455994050148.75,1802214373741.32,1796275437087.99,2053594973992.61
"17","BWA","5489608299.66445",7511582173.37724,8957467706.5354,10126940513.3125,10939053365.4786,10945070441.9283,15351972229.5341,16067155187.0375,14901750764.9811,16250750259.0212,14420604205.7459,15646323340.5497,17406565823.2986
"18","CAN","736379777892562",892382413817715,1023196771714.07,1315415197461.21,1464977190205.75,1549131208997.19,1789140665202.84,1823966686523.63,1842018420853.1,1801480123070.82,1552899925233.71,1526705529135.32,1646867220617.47
"19","CHL","70979923960.3742",75643459839.6008,99210392857.6116,154788024805808,173605968179255,179638496278574,252251992029442,267122320056702,278384332694359,260541637327864,243919079437.22,250339876460228,277746457909868
"20","CHN","1339395718865.3",1660287965662.68,1955347004963.27,2752131773355.16,3550342425238.25,4594306848763.08,7551500425597.77,8532230724141.76,9570405758739.79,10438529153237.6,11015542352468.9,11137945669350.6,12143491448186.1
"21","CIV","11192560719.3464",15306602195.1231,16554441554.9358,17800887469.3157,20343636058733,24224905503654,25381615976.0786,26790577891.2905,31264184740.6082,35316494573681,33131113901.4803,35296979104.0186,38053610009.4172
"22","CMR","10371327756.4548",14548845764.5325,17430933517.2998,19356046327.8995,22365265025.66,26409781215.1844,29337006833.0825,29104437355.0395,32348149947.3727,34942948737.3967,30916218544.4404,32621535418.9031,34922782310.6416
"23","COD","7438189100.33333",8937567059.87754,10297483481223,14451902467.9315,16737071816.4195,19788515873.9704,25839749198.7761,29306235826376,32679745297.6503,35909040265.9532,37917704900.1192,37134799974.4735,38019265625856
"24","COG","2794259783.08097",3495868808.0512,4648628921.36969,7731261310.93322,8394688284.06224,11859013280.9951,14425607179.6639,13677930123.5919,14085851348069,14177437982.2619,8553154580.39951,9035848070.90357,8701334800.21976
"25","COL","98211749595.5442",94641378693223,117081522349677,161189825603139,205706860699301,241710969502894,334454039093586,370574421703.06,381866608838.8,381112119657445,293481748240779,282825009887458,311789874617096
"26","COM","378180913.355762",545658929.044587,632570092.207793,697810988.051543,794621676.487681,911967428.713838,1021746833.42573,1015901205.42028,1115906341.77727,1148058015.47633,988150249.533688,1024261820.6281,1068124329.86257
"27","CRI","15913363440.5059",17196009811.1635,18528955524.5199,22602721765.3637,26743972911912,30612927861.2203,42262694503.9644,46473131798.8916,49745084869.7148,50577769785.0761,54775997555.6182,57157995872.6843,58174550211.5504
"28","CYP","10397896174.8634",14547327293.3182,17320550000,20072788859.6161,23968765398.3028,27839724622.8212,27426994717.8204,25041397918.5404,24084559214.0202,23364707443.2798,19680625485.1946,20453761061.9469,22141864998.8731
"29","CZE","67523642262.4009",99627140274.3805,119162172468268,155463807112889,189227050759595,235718586901129,227948349666354,207376427020815,209402444996104,207818330723835,186829940545759,195090272402729,215913545038.43
"30","DEU","1950648769574.94",2505733634311.51,2819245095604.67,3002446368084.31,3439953462907.2,3752365607148.09,3757698281117.55,3543983909148.01,3752513503278.41,3898726503841.35,3381389338658.82,3495162856297.22,3693204332229.78
"31","DNK","164791442543375",218096033517009,251373002954382,282884947702966,319423424509066,353361038818383,344003137611271,327148943812137,343584391647927,352993631617708,302673068765972,311988119339251,329865553842833
"32","DOM","25599311449.3848",21642882856.4247,22692574473.3467,38116351526.2862,44169678153.1566,48288967303.4896,57811180659.4545,60657780260.6792,62661773591.7203,66065015410.0468,68802092020.9448,72342967648.3354,75931656814657
"33","DZA","54744714396.1666",67863829880.4832,85324998813604,117027304746.54,134977087734008,171000691877714,200019057307655,209058991952125,209755003250664,213810022462428,165979277276907,160129866569935,167555280113181
"34","EAP","1846141473735.73",2312730823199.69,2682114087775.44,3742275137730.19,4730897233723.89,5987665443209.83,9614771033908.29,10721334546957.2,11827780244502.1,12714085026388.9,13223362408545.5,13457752355494.1,14646215900250.9
"35","EAS","7702594292620.73",8602544831389.09,9647688135570.9,10917624046693.7,12209776362940.2,14100855248279.8,19632602228096.1,21010207451844.7,21243898145787,21876509488557.4,21747800265057,22447570589125.6,23912261117830.8
"36","ECA","693215818990011",999961777757465,1324941529334.02,2063642395948.16,2672807927877.45,3310744317438.2,3831921026803.82,4058075244447.13,4314981741824.11,4036166875129.5,3088691707518.32,2960291936549.57,3317273632219.24
"37","ECS","10125437349599",13491558134654.6,15725564542455.6,18133103625465.9,21195404801875.9,23271887679009.2,23209699221302.2,22371991299292.6,23380526443577,23706805219091.5,20418742750861.9,20359654333001.3,21528123911230.7
"38","ECU","24468324000",32432858000,36591661000,46802044000,51007777000,61762635000,79276664000,87924544000,95129659000,101726331000,99290381000,99937696000,104295862000
"39","EGY","97632008709853",82924503942.6381,78845185293.4964,107484034870974,130478960092499,162818181818182,236001858960015,279372758361832,288586231501877,305529656458438,332698041030807,332927833278038,235369129337711
"40","ESP","625975838926175",906853273137697,1069555500372.49,1264551499184.54,1479341637010.68,1635015380108.39,1488067258325.2,1336018949805.58,1361854206549.39,1376910811040.88,1199084183705.08,1237499479181.11,1314314164402.2
"41","ETH","8231326016.47494",8623691300.04079,10131187261.4421,15280861834.6024,19707616772.7996,27066912635.2228,31952763089.33,43310721414.0829,47648211133.2183,55612228233.5179,64464547915.2698,74271281810.8189,81716326730819
"42","FIN","129250111856823",171071106094808,196768065557487,216552502822732,255384615384615,283742493042332,273674236772815,256706466091089,269980111642898,272609288689575,232850788304513,239009517793721,252331136734129
"43","FRA","1376465324384.79",1840480812641.08,2115742488204.62,2318593651988.46,2657213249384.07,2918382891460.38,2861408170264.61,2683825225092.63,2811077725703.59,2852165760630.27,2438207896251.84,2471285607081.72,2586285406561.51
"44","GAB","5018874179.18704",6497305662.09274,7756293574.98077,10318424464.3377,12438956756.4455,15508574820.3516,18186478119.9582,17171447372.3334,17590745162.1326,18179752009.7489,14377324797637,14014369641.7689,14892609693.1667
"45","GBR","1625799625737.73",2043831836734.69,2403614060783.6,2697151793928.24,3084117647058.82,2904036764705.88,2634895693131.3,2676605417645.99,2753565033773.77,3034729456047.18,2896420586534.4,2659238931670.25,2637866340434.13
"46","GEO","3219488663.77231",3991284895.37214,5125365191.98664,7745394293.41721,10172882370.5477,12795076469.0099,14434568633.2642,15846484587.9004,16140014428.2794,16509316418.4176,13993566297.9774,14378036929.0573,15081330942.4188
