countrycode,cty_or_agg,year,PRIM,PRIM_BMP,PRIM_BMP_FE,PRIM_BMP_MA,PRIM_FE,PRIM_MA,PRIM_OOS,PRIM_OOS_FE,PRIM_OOS_MA
AFG,cty,2013,93,87,0,0,0,0,50,0,0
ARE,cty,2011,39,36,30,42,33,46,5,5,6
ARE,cty,2016,34,32,26,38,29,40,3,4,2
ARG,cty,2006,56,55,53,58,53,58,1,1,0
ARG,cty,2013,54,54,49,59,50,59,1,1,0
ARM,cty,2003,44,34,33,36,42,46,14,14,15
ARM,cty,2007,26,23,21,26,22,29,3,2,4
ARM,cty,2011,45,42,41,43,44,46,5,4,5
ARM,cty,2015,35,30,27,33,32,38,7,7,8
AUS,cty,2011,9,7,5,9,7,11,2,2,3
AUS,cty,2016,9,6,4,7,6,11,3,3,4
AUT,cty,2006,2,2,2,3,2,3,0,0,0
AUT,cty,2011,3,3,2,3,3,3,0,1,0
AUT,cty,2016,2,2,2,3,2,3,0,0,0
AZE,cty,2011,29,18,16,20,28,29,13,14,12
AZE,cty,2016,23,19,16,22,21,25,5,6,4
BDI,cty,2014,93,93,91,94,91,94,3,2,4
BEL,cty,2006,7,4,3,4,7,8,4,4,4
BEL,cty,2011,8,6,6,7,8,9,2,2,3
BEL,cty,2016,6,5,4,6,5,8,1,1,1
BEN,cty,2014,78,77,0,0,0,0,4,0,0
BFA,cty,2014,85,79,80,77,86,84,32,33,30
BGD,cty,2015,57,55,0,0,0,0,5,0,0
BGD,cty,2017,58,56,0,0,0,0,5,0,0
BGR,cty,2001,8,5,3,7,7,9,3,4,2
BGR,cty,2006,8,5,4,7,7,10,3,4,3
BGR,cty,2011,7,7,6,8,6,9,0,0,1
BGR,cty,2016,12,5,4,6,11,12,7,7,7
BHR,cty,2016,32,31,21,40,22,42,2,1,3
BLZ,cty,2001,76,75,71,78,73,80,6,7,6
BRA,cty,2006,52,50,46,54,48,56,4,3,5
BRA,cty,2013,48,47,46,48,47,50,3,2,3
BWA,cty,2011,48,44,37,52,42,55,7,7,8
CAN,cty,2001,3,3,2,4,2,4,0,0,0
CAN,cty,2011,3,2,2,3,2,3,1,1,1
CAN,cty,2016,4,4,4,5,4,5,0,0,0
CHL,cty,2006,41,38,37,39,40,42,5,5,4
CHL,cty,2013,37,30,27,33,34,39,9,9,9
CHN,cty,2016,18,18,0,0,0,0,0,0,0
CIV,cty,2014,82,78,0,0,0,0,21,0,0
CMR,cty,2014,77,76,73,78,76,79,5,10,0
COD,cty,2011,86,62,0,0,0,0,63,0,0
COG,cty,2014,85,83,82,84,84,86,13,9,16
COL,cty,2006,54,52,53,51,54,53,4,3,4
COL,cty,2013,49,45,43,46,47,50,7,7,7
COM,cty,2008,86,82,0,0,0,0,21,0,0
CRI,cty,2006,29,29,29,29,30,30,1,1,1
CRI,cty,2013,32,32,30,33,31,34,1,1,1
CYP,cty,2003,15,14,15,14,16,15,1,1,2
CYP,cty,2015,16,14,14,15,15,17,2,2,2
CZE,cty,2001,3,3,2,3,2,3,0,0,0
CZE,cty,2011,2,2,1,2,1,2,0,0,0
CZE,cty,2016,3,3,2,4,2,4,0,0,0
DEU,cty,2001,3,3,3,3,3,3,0,0,0
DEU,cty,2006,3,3,2,3,2,3,0,0,0
DEU,cty,2011,3,2,2,3,2,3,0,0,0
DEU,cty,2016,6,5,4,7,5,7,0,0,0
DNK,cty,2006,7,3,3,4,5,8,3,3,4
DNK,cty,2011,4,1,1,2,3,4,2,2,3
DNK,cty,2016,4,3,2,3,3,4,1,1,1
DOM,cty,2006,91,89,88,91,90,93,16,14,17
DOM,cty,2013,81,79,78,81,80,82,7,7,6
DZA,cty,2007,68,67,65,68,66,69,4,5,3
EAP,agg,2015,21,21,27,36,28,39,1,0,1
EAS,agg,2015,20,19,20,27,21,30,1,0,1
ECA,agg,2015,14,11,9,10,12,13,4,4,4
ECS,agg,2015,9,7,5,7,7,9,2,2,2
ECU,cty,2006,78,78,76,79,77,79,1,1,1
ECU,cty,2013,63,62,62,62,62,63,2,1,3
EGY,cty,2016,70,69,65,74,65,74,1,1,2
ESP,cty,2006,7,6,6,7,7,7,0,0,0
ESP,cty,2011,6,6,5,7,5,8,0,0,0
ESP,cty,2016,5,3,2,4,4,6,1,1,2
ETH,cty,2015,90,89,0,0,0,0,14,0,0
FIN,cty,2011,2,1,1,1,2,2,1,1,1
FIN,cty,2016,3,2,1,2,2,3,1,1,1
FRA,cty,2001,8,5,3,6,7,10,4,4,4
FRA,cty,2006,5,4,3,5,4,6,1,1,1
FRA,cty,2011,6,5,5,5,5,6,1,1,1
FRA,cty,2016,7,6,5,7,6,8,1,1,1
GAB,cty,2006,37,31,0,0,0,0,9,0,0
GBR,cty,2006,7,7,6,8,6,8,0,0,1
GBR,cty,2011,5,3,3,4,4,5,2,2,2
GBR,cty,2016,3,3,3,4,3,4,0,0,0
