countrycode,cty_or_agg,year,PRIM,PRIM_BMP,PRIM_BMP_FE,PRIM_BMP_MA,PRIM_FE,PRIM_MA,PRIM_OOS,PRIM_OOS_FE,PRIM_OOS_MA,Tax
AFG,cty,2013,93,87,0,0,0,0,50,0,0,7.12277329
ARE,cty,2011,39,36,30,42,33,46,5,5,6,0.321413865
ARE,cty,2016,34,32,26,38,29,40,3,4,2,0.043494701
ARG,cty,2006,56,55,53,58,53,58,1,1,0,12.8788867
ARG,cty,2013,54,54,49,59,50,59,1,1,0,12.45290276
ARM,cty,2003,44,34,33,36,42,46,14,14,15,0
ARM,cty,2007,26,23,21,26,22,29,3,2,4,15.96253173
ARM,cty,2015,35,30,27,33,32,38,7,7,8,20.93122083
ARM,cty,2011,45,42,41,43,44,46,5,4,5,17.21941905
AUS,cty,2016,9,6,4,7,6,11,3,3,4,22.25264793
AUS,cty,2011,9,7,5,9,7,11,2,2,3,20.33471173
AUT,cty,2011,3,3,2,3,3,3,0,1,0,25.42798528
AUT,cty,2006,2,2,2,3,2,3,0,0,0,25.05044256
AUT,cty,2016,2,2,2,3,2,3,0,0,0,25.51657449
AZE,cty,2011,29,18,16,20,28,29,13,14,12,12.22476095
AZE,cty,2016,23,19,16,22,21,25,5,6,4,14.55551657
BDI,cty,2014,93,93,91,94,91,94,3,2,4,0
BEL,cty,2011,8,6,6,7,8,9,2,2,3,24.71130129
BEL,cty,2016,6,5,4,6,5,8,1,1,1,23.06992834
BEL,cty,2006,7,4,3,4,7,8,4,4,4,25.17081106
BEN,cty,2014,78,77,0,0,0,0,4,0,0,0
BFA,cty,2014,85,79,80,77,86,84,32,33,30,15.37169965
BGD,cty,2017,58,56,0,0,0,0,5,0,0,0
BGD,cty,2015,57,55,0,0,0,0,5,0,0,8.498348828
BGR,cty,2001,8,5,3,7,7,9,3,4,2,17.27190335
BGR,cty,2011,7,7,6,8,6,9,0,0,1,17.7392303
BGR,cty,2006,8,5,4,7,7,10,3,4,3,21.11192974
BGR,cty,2016,12,5,4,6,11,12,7,7,7,20.04102943
BHR,cty,2016,32,31,21,40,22,42,2,1,3,0
BLZ,cty,2001,76,75,71,78,73,80,6,7,6,18.70201498
BRA,cty,2006,52,50,46,54,48,56,4,3,5,15.38131159
BRA,cty,2013,48,47,46,48,47,50,3,2,3,13.44169278
BWA,cty,2011,48,44,37,52,42,55,7,7,8,23.66745472
CAN,cty,2001,3,3,2,4,2,4,0,0,0,14.23159039
CAN,cty,2016,4,4,4,5,4,5,0,0,0,12.45503562
CAN,cty,2011,3,2,2,3,2,3,1,1,1,11.83153834
CHL,cty,2013,37,30,27,33,34,39,9,9,9,17.3869727
CHL,cty,2006,41,38,37,39,40,42,5,5,4,19.49190685
CHN,cty,2016,18,18,0,0,0,0,0,0,0,9.20099957
CIV,cty,2014,82,78,0,0,0,0,21,0,0,13.97364016
CMR,cty,2014,77,76,73,78,76,79,5,10,0,12.77587041
COD,cty,2011,86,62,0,0,0,0,63,0,0,0
COG,cty,2014,85,83,82,84,84,86,13,9,16,12.09352171
COL,cty,2006,54,52,53,51,54,53,4,3,4,0
COL,cty,2013,49,45,43,46,47,50,7,7,7,14.03127662
COM,cty,2008,86,82,0,0,0,0,21,0,0,0
CRI,cty,2006,29,29,29,29,30,30,1,1,1,13.91075261
CRI,cty,2013,32,32,30,33,31,34,1,1,1,13.74171499
CYP,cty,2015,16,14,14,15,15,17,2,2,2,24.12766355
CYP,cty,2003,15,14,15,14,16,15,1,1,2,37.61498585
CZE,cty,2001,3,3,2,3,2,3,0,0,0,14.80355362
CZE,cty,2016,3,3,2,4,2,4,0,0,0,14.67547122
CZE,cty,2011,2,2,1,2,1,2,0,0,0,14.31395809
DEU,cty,2006,3,3,2,3,2,3,0,0,0,10.81462446
DEU,cty,2016,6,5,4,7,5,7,0,0,0,11.18186565
DEU,cty,2001,3,3,3,3,3,3,0,0,0,10.92510953
DEU,cty,2011,3,2,2,3,2,3,0,0,0,11.44177839
DNK,cty,2011,4,1,1,2,3,4,2,2,3,32.75348927
DNK,cty,2016,4,3,2,3,3,4,1,1,1,33.45179544
DNK,cty,2006,7,3,3,4,5,8,3,3,4,31.86029116
DOM,cty,2006,91,89,88,91,90,93,16,14,17,13.99475989
DOM,cty,2013,81,79,78,81,80,82,7,7,6,13.50353563
DZA,cty,2007,68,67,65,68,66,69,4,5,3,0
EAP,agg,2015,21,21,27,36,28,39,1,0,1,10.12401788
EAS,agg,2015,20,19,20,27,21,30,1,0,1,11.88534138
ECA,agg,2015,14,11,9,10,12,13,4,4,4,14.10879585
ECS,agg,2015,9,7,5,7,7,9,2,2,2,19.16006133
